,Trajectory,Time,blast_L_crispatus,blast_L_iners,blast_L_gasseri,blast_L_jensenii,blast_L_other,blast_Gardnerella_spp,blast_Streptococcus_spp,blast_Atopobium_spp,blast_Prevotella_spp,blast_Bergeyella_spp,blast_Corynebacterium_spp,blast_Finegoldia_spp,blast_Sneathia_spp,blast_Dialister_spp,blast_Other
30,1,32,0.82935753,0.159812674,0.0,0.0,0.000585394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010244402
31,1,33,0.688641721,0.25729228,0.0,0.006555687,0.005745433,0.0,0.000147319,0.000368297,0.020992929,0.0,0.000220978,0.00117855,0.0,0.000662935,0.018193872
32,1,34,0.678516611,0.257612517,0.0,0.004357083,0.002970738,0.0,9.9e-05,0.0,0.018616626,0.0,0.000247562,0.002772689,0.0,0.000891221,0.033915928
33,1,35,0.647458617,0.232331235,0.0,0.001375975,0.001834633,0.0,0.0,0.000208481,0.040487012,0.0,0.001459367,0.003085519,0.001042405,0.003043823,0.067672935
34,1,36,0.591284781,0.32091393,0.0,0.008524817,0.002163659,0.0,0.0,0.000302912,0.021550045,0.0,0.002250206,0.003548401,0.0,0.001947293,0.047513956
35,1,37,0.665593176,0.278788406,0.0,0.005135347,0.003351031,0.0,0.0,0.0,0.007224302,0.0,0.0,0.001697276,0.0,0.000913918,0.037296545
36,1,38,0.733630488,0.216269222,0.0,0.002718966,0.003432137,0.0,0.0,0.0,0.007844885,0.0,0.0,0.0024961,0.0,0.000891464,0.032716737
37,1,39,0.677621664,0.233166415,0.001604356,0.006660509,0.00340318,0.0,0.0,0.000972337,0.031941271,0.0,0.0,0.004715835,0.0,0.001750207,0.038164228
38,1,40,0.696111287,0.244008852,0.0,0.003793867,0.004110022,0.0,0.0,0.0,0.005943724,0.0,0.000252924,0.00455264,0.0,0.000252924,0.040973759
39,1,41,0.31169911,0.428836936,0.0,0.005233297,0.002983469,0.0,0.001760736,0.0,0.140809938,0.0,0.009292771,0.022547197,0.0,0.011640419,0.065196126
40,2,51,0.545209651,0.359100492,0.0,0.015928789,0.00714453,0.0,0.000117123,0.0,0.014523308,0.0,0.00035137,0.006207543,0.0,0.002810963,0.048606231
41,2,52,0.529505135,0.279131653,0.0,0.018160598,0.007563025,0.0,0.0,0.001213819,0.071615313,0.0,0.001680672,0.009337068,0.0,0.008309991,0.073482726
42,2,53,0.718167091,0.250960426,0.0,0.0,0.003471419,0.0,0.001110854,0.0,0.000462856,0.0,0.0,0.000231428,0.0,0.0,0.025595927
43,2,54,0.584201843,0.236932115,0.0,0.005512857,0.005593336,0.0,0.0,0.001529114,0.074162006,0.0,0.001166955,0.008852762,0.0,0.006760291,0.075288721
44,3,56,0.475298708,0.460863204,0.0,0.008924653,0.004096562,0.0,0.0,0.0,0.004535479,0.0,0.000146306,0.002145818,0.0,0.0,0.043989271
45,3,57,0.361527054,0.22905803,0.0,0.004927522,0.006601923,0.0,0.001674401,0.001770081,0.203463618,0.0,0.005071042,0.0407597,0.0,0.017078888,0.128067741
46,3,58,0.614234625,0.339215571,0.0,0.00480741,0.004572903,0.0,0.0,0.0,0.003517617,0.0,0.000293135,0.000527643,0.0,0.000117254,0.032713842
47,3,59,0.533148908,0.365830392,0.0,0.015739769,0.013831918,0.0,0.0,0.0,0.016407517,0.0,0.000190785,0.00486502,0.0,0.0,0.049985691
48,3,60,0.50569044,0.288884674,0.0,0.012424127,0.013751897,0.0,0.000474203,0.000853566,0.077010622,0.0,0.001327769,0.018873293,0.0,0.005311077,0.075398331
49,3,61,0.553529518,0.24324487,0.0,0.010591563,0.009387976,0.0,0.000361076,0.000361076,0.092315099,0.0,0.001745201,0.016970572,0.0,0.004393091,0.067099958
50,3,62,0.478051948,0.424350649,0.0,0.016883117,0.006103896,0.0,0.00012987,0.001363636,0.024090909,0.0,0.0,0.0,0.00525974,0.00474026,0.039025974
51,3,63,0.55697975,0.18639595,0.0,0.008347695,0.008940112,0.0,0.000107712,0.000430849,0.128985351,0.0,0.001507971,0.020519173,0.0,0.006355019,0.081430418
52,3,64,0.645107883,0.292458876,0.0,0.002403333,0.00469985,0.0,0.0,0.0,0.003311258,0.0,0.005394147,0.002777184,0.0,0.000106815,0.043740654
53,3,65,0.758219911,0.188408013,0.0,0.001376357,0.008258143,0.0,0.0,0.001529286,0.025233216,0.0,0.0,0.001529286,0.0,0.000764643,0.014681144
54,3,66,0.653789351,0.295297318,0.0,0.005207928,0.003186941,0.0,0.0,0.0,0.006684804,0.0,0.000777303,0.002487369,0.0,0.000544112,0.032024874
55,3,67,0.581432978,0.349749709,0.0,0.005056379,0.002882136,0.0,0.0,0.000505638,0.012640947,0.0,0.00414623,0.003286646,0.0,0.000606765,0.039692572
56,3,68,0.661850782,0.272801363,0.009557679,0.001111358,0.004519523,0.000296362,0.0,0.000148181,0.012150848,0.0,0.00133363,0.003926799,0.0,0.00133363,0.030969845
57,3,69,0.624927334,0.312870596,0.0,0.007150331,0.005813278,0.0,0.0,0.0,0.001918382,0.0,0.000465062,0.001511452,0.0,0.000174398,0.045169166
58,3,70,0.665201686,0.272486454,0.0,0.004394943,0.002709211,0.0,0.0,0.000301023,0.023178808,0.0,0.0,0.001625527,0.0,0.001143889,0.028958459
59,3,71,0.708509119,0.249042643,0.0,0.00175245,0.006620367,0.0,0.0,0.0,0.000129811,0.0,0.001038489,0.0,0.0,0.0,0.03290712
60,4,5,0.0,0.348348794,0.0,0.0,0.638293135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000148423,0.013209647
61,4,6,0.007231888,0.320670439,0.0,0.0,0.637980176,0.0,0.002509891,0.0,0.001106054,0.0,0.006593781,0.002765134,0.0,0.0,0.021142638
62,4,7,0.012185565,0.771491262,0.0,0.0,0.183096936,0.0,0.000509364,0.0,0.002194185,0.0,0.001410548,0.006190737,0.0,0.000587728,0.022333673
63,4,8,0.0,0.434011027,0.0,0.0,0.002153687,0.0,0.165144728,0.0,0.061164714,0.0,0.018004824,0.029290145,0.0,0.000430737,0.289800138
64,4,9,0.0,0.468404737,0.0,0.0,0.019990462,0.0,0.042246244,0.002146093,0.08548605,0.0,0.009458708,0.057706065,0.0,0.003020428,0.311541213
65,4,10,0.0,0.544297521,0.0,0.0,0.127603306,0.0,0.001597796,0.001983471,0.118512397,0.0,0.025289256,0.084738292,0.0,0.009090909,0.086887052
66,4,11,0.0,0.425118036,0.0,0.0,0.389896128,0.0,0.000377715,0.0,0.05911237,0.0,0.012086874,0.03871577,0.0,0.003588291,0.071104816
67,4,12,0.0,0.449759042,0.0,0.0,0.375940188,0.0,0.0,0.0,0.058505607,0.0,0.015763636,0.033238752,0.0,0.001756519,0.065036256
68,4,13,0.0,0.558333807,0.0,0.0,0.404557595,0.0,0.00079559,0.0,0.010229016,0.0,0.004887197,0.00238677,0.0,0.000227311,0.018582713
69,4,14,0.0,0.549883691,0.0,0.0,0.398487981,0.0,0.001873869,0.0,0.012147842,0.0,0.002649263,0.012277074,0.0,0.000452313,0.022227966
70,4,15,0.0,0.539171452,0.0,0.0,0.419196062,0.0,0.00266612,0.0,0.004511895,0.0,0.000205086,0.021534044,0.0,0.001025431,0.01168991
71,4,16,0.0,0.599176647,0.0,0.0,0.378667665,0.0,0.002020958,0.0,0.002320359,0.0,0.000523952,0.001347305,0.001721557,0.0,0.014221557
72,4,17,0.0,0.645452343,0.0,0.0,0.308465544,0.0,0.002724961,0.0,0.009749304,0.0,0.004844374,0.002906625,0.001453312,0.0,0.024403536
73,4,18,0.002330097,0.750757282,0.0,0.0,0.17584466,0.0,0.045514563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025553398
74,5,20,0.334764595,0.361092279,0.000150659,0.01126177,0.011148776,0.0,0.021318267,0.0,0.151186441,0.0,0.01039548,0.02259887,0.0,0.00165725,0.074425612
75,5,21,0.0,0.444982543,0.0,0.0,0.009404212,0.0,0.133235725,0.001407816,0.141063183,0.0,0.013346098,0.039249916,0.0,0.007602207,0.2097083
76,5,22,0.0,0.538113978,0.0,0.0,0.008344265,0.0,0.101807317,0.000947384,0.091969101,0.0,0.0121338,0.019056989,0.0,0.007615508,0.22001166
77,5,23,0.003144079,0.48013015,0.000292472,0.0,0.007933316,0.000146236,0.132124447,0.000255913,0.149380324,0.0,0.001791394,0.010675246,0.0,0.003473111,0.21065331
78,5,24,0.0,0.443822747,0.0,0.0,0.012986564,0.0,0.126929852,0.003177564,0.193934998,0.0,0.02538597,0.026180361,0.0,0.01146686,0.156115083
79,5,25,0.0,0.742598235,0.0,0.0,0.039215686,0.0,0.147800953,0.0,0.001718616,0.0,0.0,0.0,0.0,0.0,0.06866651
80,5,26,0.0,0.485803945,0.0,0.0,0.01180514,0.0,0.18977884,0.000523013,0.105648536,0.0,0.02630006,0.017782427,0.0,0.009040646,0.153317394
81,5,27,0.0,0.566722191,0.0,0.0,0.0,0.0,0.205904127,0.0,0.023968166,0.0,0.001388118,0.0015732,0.0,0.0,0.200444198
82,5,28,0.000828363,0.605036448,0.0,0.0,0.0,0.0,0.2351723,0.0,0.024105368,0.0,0.018969516,0.006461233,0.0,0.0,0.109426773
83,5,29,0.002854954,0.552468491,0.0,0.0,0.0,0.0,0.272474062,0.0,0.022352204,0.0,0.022004039,0.012046515,0.0,0.0,0.115799735
84,5,30,0.001647446,0.60044578,0.0,0.0,0.0,0.0,0.10214168,0.00067836,0.094098265,0.0,0.000775269,0.01608683,0.0,0.00213199,0.181994379
85,6,32,0.0,0.656784741,0.0,0.0,0.008719346,0.0,0.14208901,0.000145322,0.021762035,0.0,0.003778383,0.022561308,0.0,0.001634877,0.142524977
86,6,33,0.0,0.750880978,0.0,0.0,0.029485796,0.0,0.134843581,0.0,0.000431499,0.0,0.006328659,0.001150665,0.0,0.0,0.076878821
87,6,34,0.0,0.889756864,0.0,0.0,0.063834705,0.0,0.017472497,0.0,0.000138671,0.0,0.003050753,9.24e-05,0.0,0.0,0.025654063
88,6,35,0.0,0.64522314,0.0,0.0,0.281123967,0.0,0.005553719,0.000528926,0.015404959,0.0,0.006347107,0.014677686,0.0,0.001785124,0.029355372
89,6,36,0.0,0.591511534,0.0,0.0,0.376871712,0.0,0.000809389,0.0,0.00252934,0.0,0.002731688,0.003541076,0.0,0.000202347,0.021802914
90,6,37,0.001773296,0.6027121,0.0,0.0,0.366515994,0.0,0.0,0.0,0.002607789,0.0,0.003268428,0.003824757,0.0,0.000173853,0.019123783
91,6,38,0.0,0.464054203,0.0,0.0,0.51133492,0.0,0.0,0.0,0.000695843,0.0,0.004394799,0.00010987,0.0,0.0,0.019410364
92,7,40,0.0,0.376183952,0.0,0.0,0.530112587,0.000476559,0.001548818,0.003812474,0.026151188,0.0,0.007982367,0.007386668,0.0,0.002442366,0.04390302
93,7,41,0.02677241,0.568901706,0.0,0.0,0.385099736,0.0,0.000240327,0.0,0.000576784,0.0,0.000192261,0.0,0.0,0.0,0.018216775
94,7,42,0.0,0.585943103,0.0,0.0,0.004004303,0.0,0.161666268,0.0,0.0,0.0,0.00376524,0.014463304,0.0,0.000119531,0.23003825
95,7,43,0.0,0.702120682,0.0,0.0,0.001967643,0.0,0.15752077,0.0,0.0,0.0,0.00185833,0.0,0.0,0.0,0.136532575
96,7,44,0.0,0.690137165,0.0,0.0,0.003331156,0.0,0.144546048,0.0,0.003004572,0.0,0.007184847,0.011103854,0.0,0.00019595,0.140496408
